5066,7,1,10,BAYOU LA BATRE
5073,16,1,38,GUMP HOUSE
5089,10,1,13,BAYOU LA BATRE / ON THE BOAT
5099,67,1,66,SAVANNAH
5166,41,1,13,BAYOU LA BATRE / ON THE BOAT
5207,30,1,66,SAVANNAH
5237,5,1,31,FOOTBALL FIELD
5242,11,1,42,GUMP MAILBOXES
5253,4,1,66,SAVANNAH
5257,5,1,20,CHURCH
5262,10,1,20,CHURCH
5272,6,1,12,BAYOU LA BATRE / HOSPITAL
5278,12,1,11,BAYOU LA BATRE / BUBBA'S HOME
5290,1,1,66,SAVANNAH
5291,7,1,28,FINE HOUSE
5298,8,1,31,FOOTBALL FIELD
5306,42,1,39,GUMP HOUSE / BALCONY
5348,81,1,38,GUMP HOUSE
5429,16,1,38,GUMP HOUSE
5445,18,1,27,FIELD
5463,10,1,73,TREE ON A FIELD
5473,8,1,38,GUMP HOUSE
5481,7,1,38,GUMP HOUSE
5488,19,1,38,GUMP HOUSE
5507,13,1,63,RIVERSIDE
5520,84,1,38,GUMP HOUSE
5604,4,1,38,GUMP HOUSE
5608,54,1,38,GUMP HOUSE
5662,26,1,38,GUMP HOUSE
5688,48,1,38,GUMP HOUSE
5736,50,1,41,GUMP HOUSE PORCH
5786,4,1,8,BARBERSHOP
5790,14,1,64,ROAD IN ALABMA
5804,6,1,66,SAVANNAH
5810,31,1,59,PIER
5841,12,1,66,SAVANNAH
5853,47,1,44,HIGHWAY
5900,8,1,8,BARBERSHOP
5908,14,1,18,CAFE
5922,16,1,15,BRIDGE AT MISSISIPI RIVER
5938,2,1,66,SAVANNAH
5940,5,1,72,STREET WITH HOUSES IN THE BACKGROUND
5945,5,1,66,SAVANNAH
5950,23,1,72,STREET WITH HOUSES IN THE BACKGROUND
5973,42,1,66,SAVANNAH
6015,30,1,74,TRUCK STOP
6045,89,1,24,DESERT VALLEY
6134,19,1,38,GUMP HOUSE
6153,47,1,66,SAVANNAH
6200,218,1,47,JENNY'S APPARTMENT
6418,55,1,58,PARK
6473,140,1,38,GUMP HOUSE
6613,45,1,38,GUMP HOUSE
6658,17,1,77,VIETNAM
6675,9,1,13,BAYOU LA BATRE / ON THE BOAT
6684,11,1,53,MOUNTAIN LAKE
6695,13,1,24,DESERT VALLEY
6708,30,1,38,GUMP HOUSE
6738,15,1,48,JENNY'S GRAVE
6753,5,1,56,OUTSIDE JENNY'S HOUSE
6758,19,1,48,JENNY'S GRAVE
6777,9,1,38,GUMP HOUSE
6786,13,1,48,JENNY'S GRAVE
6799,7,1,38,GUMP HOUSE
6806,7,1,63,RIVERSIDE
6813,131,1,48,JENNY'S GRAVE
6944,142,1,68,SCHOOL BUS STOP
